participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0540,R_2c6JKy7zhniek7p,Nonsense,Bullshit,,That's total bullshit,When in strong disagreement re a statement or action,
A0541,R_3gU6J57YQxax7Hw,Nonsense,B.S. (bullshit),,,,
A0542,R_9HXk7GpXVo6KNgt,Nonsense,Lot of Balonie,,He is talking a lot of balonie,years ago,
A0548,R_1oIjESLljr9vneN,Nonsense,Bullshit,,Ah! That's bullshit.,In response to a story about something negative or unfair or ridiculous and untrue,
A0549,R_6D7jtYQhfzJEbEB,Nonsense,bullshit interchangeable with crap,,Some of these pollies just feed us bullshit,"All my life ""australia wide.",
A0551,R_3EaPhurCbUhOB8w,Nonsense,Load of crap,,It was a total load of crap,Generally,No
A0553,R_2TvIjwK6hPJKFpb,Nonsense,bullshit,,His argument is complete bullshit,Conversation with friends,somewhat offensive in polite company
A0554,R_1OVyecCttlgDoJ1,Nonsense,Bullcrap,,That's bullcrap mate,Growing up,No
A0555,R_3dTlwE19juQhFn3,Nonsense,"bullshit, malarkey",,,,
A0556,R_31nhXsDMCKxpmLP,Nonsense,bollocks,,what a load of bollocks,school,
A0557,R_1jx2LTLnMVNrXdW,Nonsense,"Bullshit, crap, twaddle, joke",,His list of instructions is a joke,"At work, social situations, while watching the news",
A0558,R_3KH3TF2byRXKTf0,Nonsense,raw prawn; gobbledygook; claptrap,,,,Not sure of all of these origins apart from the first.
